"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","6,378,584","100"
"2","youtube.com","22,203,968","100"
"3","www.google.com","14,096,362","100"
"4","linkedin.com","11,629,401","99"
"5","microsoft.com","5,117,855","99"
"6","www.blogger.com","29,437,850","99"
"7","support.google.com","5,264,409","99"
"8","play.google.com","3,768,547","99"
"9","wordpress.org","11,721,817","98"
"10","maps.google.com","5,784,283","98"
"11","docs.google.com","3,216,570","98"
"12","youtu.be","5,044,928","98"
"13","en.wikipedia.org","6,897,564","98"
"14","mozilla.org","2,347,313","98"
"15","cloudflare.com","6,272,556","98"
"16","googleusercontent.com","3,217,232","97"
"17","sites.google.com","2,165,546","97"
"18","accounts.google.com","2,559,667","97"
"19","plus.google.com","11,287,785","97"
"20","bp.blogspot.com","17,660,213","97"
"21","whatsapp.com","3,425,982","97"
"22","drive.google.com","2,364,151","97"
"23","adobe.com","2,852,097","97"
"24","europa.eu","2,159,915","97"
"25","amazon.com","4,904,374","96"
"26","uol.com.br","683,629","96"
"27","vk.com","1,769,164","96"
"28","vimeo.com","3,524,441","96"
"29","istockphoto.com","3,563,712","96"
"30","facebook.com","58,080,283","96"
"31","es.wikipedia.org","953,161","96"
"32","t.me","1,110,198","96"
"33","github.com","2,744,970","96"
"34","globo.com","447,979","95"
"35","enable-javascript.com","8,839,969","95"
"36","search.google.com","1,391,928","95"
"37","imdb.com","1,509,037","95"
"38","w3.org","1,135,115","95"
"39","policies.google.com","2,500,628","95"
"40","who.int","1,995,046","95"
"41","paypal.com","1,110,841","95"
"42","jimdofree.com","1,718,385","95"
"43","developers.google.com","1,104,533","95"
"44","google.co.jp","657,557","95"
"45","mail.ru","484,529","95"
"46","draft.blogger.com","10,795,945","95"
"47","tools.google.com","1,714,775","95"
"48","live.com","914,622","95"
"49","medium.com","1,700,254","95"
"50","theguardian.com","1,569,076","95"
"51","google.de","1,126,663","95"
"52","files.wordpress.com","7,627,971","95"
"53","google.com.br","295,006","95"
"54","wikimedia.org","2,004,804","95"
"55","myspace.com","1,381,905","95"
"56","www.yahoo.com","1,337,851","95"
"57","creativecommons.org","1,718,940","95"
"58","brandbucket.com","11,178,265","95"
"59","www.weebly.com","4,908,356","95"
"60","line.me","852,808","95"
"61","youronlinechoices.com","571,018","95"
"62","pt.wikipedia.org","416,487","95"
"63","fr.wikipedia.org","631,550","95"
"64","news.google.com","781,961","95"
"65","dropbox.com","1,095,246","95"
"66","dailymotion.com","1,138,610","95"
"67","google.es","474,679","95"
"68","gravatar.com","12,236,227","95"
"69","feedburner.com","1,797,252","95"
"70","ok.ru","359,592","95"
"71","nytimes.com","2,171,262","95"
"72","nih.gov","1,421,734","95"
"73","bbc.co.uk","1,732,898","95"
"74","gstatic.com","621,855","95"
"75","forbes.com","1,410,645","95"
"76","slideshare.net","1,005,753","95"
"77","cnn.com","1,620,434","95"
"78","bbc.com","907,967","95"
"79","dan.com","3,610,647","95"
"80","webmd.com","740,459","94"
"81","wsj.com","980,132","94"
"82","forms.gle","714,842","94"
"83","telegram.me","361,215","94"
"84","storage.googleapis.com","821,415","94"
"85","scribd.com","768,688","94"
"86","usatoday.com","852,555","94"
"87","de.wikipedia.org","674,658","94"
"88","amazon.co.jp","856,578","94"
"89","terra.com.br","204,811","94"
"90","ig.com.br","157,055","94"
"91","issuu.com","990,050","94"
"92","namecheap.com","1,138,046","94"
"93","businessinsider.com","883,249","94"
"94","tiktok.com","562,731","94"
"95","4shared.com","559,744","94"
"96","android.com","314,781","94"
"97","amazon.co.uk","779,034","94"
"98","foxnews.com","583,942","94"
"99","google.ru","199,370","94"
"100","independent.co.uk","761,590","94"
"101","google.pl","208,765","94"
"102","soundcloud.com","1,819,164","94"
"103","tinyurl.com","1,422,024","94"
"104","plesk.com","700,782","94"
"105","aliexpress.com","516,595","94"
"106","photos.google.com","278,353","94"
"107","mirror.co.uk","408,492","94"
"108","amazon.de","555,764","94"
"109","huffingtonpost.com","1,088,389","94"
"110","marketingplatform.google....","854,956","94"
"111","nature.com","605,717","94"
"112","afternic.com","2,817,459","94"
"113","bloomberg.com","851,715","94"
"114","wa.me","1,176,926","94"
"115","indiatimes.com","475,036","94"
"116","huffpost.com","1,206,563","94"
"117","shopify.com","2,387,085","94"
"118","wp.com","2,017,046","94"
"119","amazon.es","189,361","94"
"120","goo.gl","4,645,475","94"
"121","sedo.com","2,229,031","94"
"122","ru.wikipedia.org","377,954","94"
"123","google.co.uk","598,068","94"
"124","thesun.co.uk","412,665","94"
"125","t.co","2,118,572","94"
"126","yadi.sk","178,439","94"
"127","google.fr","411,076","94"
"128","reuters.com","928,051","94"
"129","it.wikipedia.org","338,133","94"
"130","mediafire.com","856,410","94"
"131","booking.com","402,652","94"
"132","washingtonpost.com","1,157,402","94"
"133","office.com","528,818","94"
"134","harvard.edu","758,836","94"
"135","archive.org","1,163,121","94"
"136","get.google.com","649,413","94"
"137","opera.com","922,891","94"
"138","msn.com","1,106,134","94"
